,feature,weight,std
0,tortilla,0.016234691,0.012934194
1,olive,0.014400822,0.006403718
2,soy,0.013657938,0.009463083
3,cheese,0.013589635,0.007976393
4,salt,0.013041319,0.001299739
5,oil,0.012721313,0.001959847
6,sauce,0.012439667,0.005294402
7,cilantro,0.01183848,0.006935124
8,ginger,0.011794221,0.006222601
9,sugar,0.011444559,0.002429325
10,cumin,0.011336726,0.006934316
11,pepper,0.011178267,0.001214077
12,parmesan,0.01093202,0.009708353
13,lime,0.010930634,0.005778719
14,onion,0.010756008,0.001723733
15,garlic,0.010590777,0.001617784
16,butter,0.009470735,0.002209171
17,sesame,0.008985622,0.006716924
18,ground,0.008508818,0.001313023
19,egg,0.008285028,0.001201037
20,fresh,0.008111706,0.001293617
21,water,0.008070142,0.00089309
22,tomato,0.007912103,0.002516011
23,corn,0.00764348,0.003144771
24,milk,0.007520099,0.001311654
25,rice,0.007412499,0.002296805
26,basil,0.007375055,0.005036125
27,flour,0.007219958,0.00109651
28,salsa,0.007063177,0.006874011
29,powder,0.007039603,0.001582683
30,fish,0.006820376,0.003669879
31,green,0.006549183,0.001264927
32,black,0.006381179,0.00086868
33,curry,0.006117001,0.003159264
34,chicken,0.006047974,0.000848731
35,lemon,0.005942839,0.001062434
36,white,0.005884085,0.000769838
37,juice,0.00580643,0.001026396
38,seed,0.005731836,0.002494711
39,grated,0.005564006,0.004830244
40,chili,0.005439415,0.002676203
41,chilies,0.005387371,0.003920027
42,masala,0.00536008,0.005589469
43,coconut,0.00532289,0.002375759
44,red,0.005310275,0.000713162
45,chile,0.005308337,0.002434754
46,wine,0.005296934,0.001605089
47,potato,0.005223737,0.000884753
48,leaf,0.005214214,0.000949447
49,cream,0.005177561,0.001346885
